posto,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11
001,56.1,55.9,55.6,55.3,55.1,54.8,54.6,54.3,54.0,54.2,54.0,53.7
002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006,375.5,374.2,371.9,369.7,367.5,365.4,363.3,361.3,359.3,358.5,358.7,359.0
007,439.7,437.9,435.0,432.2,429.5,426.9,424.3,421.8,419.4,418.0,417.8,417.6
008,454.5,452.6,449.6,446.7,443.9,441.1,438.4,435.8,433.2,431.8,431.5,431.2
009,460.7,458.6,455.6,452.6,449.8,447.0,444.2,441.5,439.0,437.5,437.1,436.8
010,478.2,476.0,472.8,469.7,466.7,463.8,460.9,458.1,455.4,453.8,453.3,452.8
011,517.4,514.9,511.3,507.9,504.6,501.3,498.1,495.0,492.0,490.1,489.3,488.6
012,597.5,594.2,590.0,585.9,581.9,577.9,574.1,570.3,566.6,564.1,562.7,561.4
014,22.1,21.9,21.7,21.5,21.3,21.2,21.0,20.8,20.7,21.2,21.6,21.4
015,36.2,35.9,35.6,35.3,35.0,34.7,34.4,34.1,34.0,34.7,35.3,35.1
016,36.8,36.4,36.1,35.8,35.5,35.2,34.9,34.7,34.5,35.2,35.9,35.6
017,868.6,863.0,857.4,851.9,846.5,841.3,836.1,831.1,826.3,824.0,823.3,822.1
018,1011.1,1004.7,998.3,992.0,985.9,979.9,974.0,968.3,962.8,959.8,958.5,957.0
211,138.0,137.3,136.6,135.9,135.2,134.5,133.8,133.2,132.5,132.2,131.6,130.9
071,52.6,49.9,50.4,57.6,55.8,53.1,55.4,79.4,96.9,96.4,101.7,106.3
072,56.5,54.0,55.2,62.2,60.1,59.6,65.9,89.0,104.9,103.9,109.0,112.9
073,72.5,70.5,74.4,80.8,77.6,85.9,107.9,127.5,136.9,134.3,138.4,139.3
074,298.3,311.8,288.2,285.7,285.0,282.3,427.0,689.1,788.7,791.6,828.4,872.6
076,442.5,457.1,451.1,451.4,442.3,492.6,740.1,1004.0,1079.7,1071.8,1107.5,1137.3
077,511.1,521.9,519.1,533.6,520.5,568.2,898.9,1281.2,1365.1,1333.7,1382.3,1401.8
078,534.3,543.6,542.1,562.2,547.5,594.1,957.8,1386.9,1474.0,1433.3,1487.0,1502.5
222,679.7,679.7,686.2,741.3,716.7,756.8,1327.0,2049.8,2157.2,2058.1,2144.0,2134.0
976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
034,2873.8,2857.0,2839.8,2823.0,2806.7,2790.7,2774.9,2759.5,2743.7,2730.4,2719.1,2707.8
154,103.1,103.0,102.8,102.7,103.2,102.9,102.6,102.3,102.0,101.8,101.6,101.7
243,353.9,352.0,351.2,378.6,383.9,375.9,393.0,379.1,379.7,406.1,417.7,416.6
245,3511.4,3492.1,3473.3,3483.4,3473.4,3452.4,3452.9,3422.2,3405.6,3417.5,3416.8,3403.8
246,4091.9,4072.3,4051.7,4060.4,4055.3,4039.6,4041.0,4007.6,3987.3,3997.6,3998.3,3988.3
266,5859.1,5823.5,5792.5,5923.5,6105.9,6216.8,6220.5,6235.4,6301.2,6505.2,6586.7,6558.1
022,59.1,58.6,58.1,57.5,57.0,56.5,56.0,55.5,55.1,54.6,54.1,53.6
023,85.2,84.4,83.7,82.9,82.2,81.5,80.8,80.1,79.3,78.6,78.0,77.3
024,244.2,242.2,240.3,238.4,236.5,234.7,232.8,231.0,229.2,227.4,225.6,223.9
025,166.4,165.2,163.9,162.7,161.5,160.3,159.1,157.9,156.8,155.6,154.5,153.3
028,174.3,173.0,171.7,170.4,169.2,167.9,166.7,165.5,164.3,163.1,161.9,160.7
031,766.1,760.2,754.3,748.6,742.9,737.2,731.7,726.1,720.6,715.2,709.8,704.5
032,812.5,806.4,800.3,794.4,788.4,782.6,776.8,771.0,765.4,759.7,754.1,748.6
033,1394.8,1385.9,1376.5,1367.2,1358.1,1349.1,1340.1,1331.3,1322.6,1314.0,1305.4,1297.0
099,54.2,54.1,54.0,54.0,53.9,53.8,53.8,53.7,53.6,53.6,53.5,53.5
205,70.4,69.8,69.2,68.5,67.9,67.3,66.7,66.2,65.6,65.0,64.4,63.8
206,171.9,170.6,169.4,168.1,166.9,165.7,164.4,163.2,162.0,160.8,159.7,158.5
207,172.6,171.3,170.1,168.8,167.6,166.3,165.1,163.9,162.7,161.5,160.3,159.2
